en_test,zh_test,GOOGLE,BLEU-1,BLEU-2,BLEU-3,BLEU-4,CHRF,CHRF++,TER,ROUGE1-R,ROUGE1-P,ROUGE1-F,ROUGE2-R,ROUGE2-P,ROUGE2-F,ROUGEL-R,ROUGEL-P,ROUGEL-F,BERTSCORE-R,BERTSCORE-P,BERTSCORE-F
"Now, who's normal?",好吧，究竟什么又是“正统”呢,现在，谁是正常人？,19.125,8.281,5.199,3.6,5.556,4.762,78.571,0.182,0.333,0.235,0,0,0,0.182,0.333,0.235,0.624,0.688,0.654
There's no normal.,“正统”并不存在,没有什么正常的。,12.5,9.449,7.192,5.522,2.083,1.786,100,0,0,0,0,0,0,0,0,0,0.576,0.532,0.553
"There's common, there's typical. There's no normal,  and would you want to meet that poor, beige person if they existed?",我知道什么是“普通的”，什么是“典型的”，但我不知道什么是“正统的” 如果真的有那种贫困的、面黄肌瘦的所谓的“正统人”，你会对他们感兴趣么,有常见的，也有典型的。没有正常的人，如果他们存在的话，你想见见那个可怜的米色人吗？,23.987,12.458,5.906,3.442,10.234,8.772,79.412,0.286,0.364,0.32,0.054,0.071,0.062,0.167,0.276,0.208,0.646,0.71,0.677
I don't think so.,我想不会吧,我不这么认为。,28.571,15.43,10.598,7.81,5.714,4.762,120,0.25,0.2,0.222,0,0,0,0.25,0.2,0.222,0.678,0.638,0.658
"If we can change this paradigm from one of achieving normalcy  to one of possibility -- or potency, to be even a little bit more dangerous --  we can release the power of so many more children,  and invite them to engage their rare and valuable abilities with the community.",如果我们不把精力投入到追求“正统”当中 而是投入到发现各种各样的可能性，发掘各种各样的能力，冒险一下 很多孩子的潜能都会被更好的激发 他们将会充分运用他们独一无二的宝贵的能力，为他们的社区做贡献,如果我们能够将这种范式从一种实现常态转变为一种可能性——或者说效力，甚至更危险一点——我们就可以释放更多孩子的力量，并邀请他们参与他们稀有而有价值的事情与社区的能力。,39.045,25.012,15.951,9.709,12.13,10.397,77.66,0.256,0.244,0.25,0.062,0.061,0.062,0.208,0.216,0.212,0.677,0.687,0.682
"Anthropologists tell us that the one thing  we as humans have always required of our community members  is to be of use, to be able to contribute.",人类学家告诉我们 我们作为人类总是希望我们所在群体中的人们是有用的 是有能力做贡献的,人类学家告诉我们，作为人类，我们一直要求我们的社区成员做的一件事就是有用、能够做出贡献。,56.818,44.52,34.89,28.078,24.243,20.78,55,0.5,0.429,0.462,0.136,0.125,0.13,0.391,0.36,0.375,0.834,0.801,0.818
"There's evidence that Neanderthals, 60,000 years ago,  carried their elderly and those with serious physical injury,  and perhaps it's because the life experience of survival of these people  proved of value to the community.",六万年前的尼安德特社会就是一个很好的证据 尼安德特人抚养他们社会中的老弱病残 因为他们坚信 老人们丰富的人生阅历是对他们整个社会是很有价值的,有证据表明，六万年前的尼安德特人携带着老年人和身体受到严重伤害的人，也许是因为这些人的生存经历被证明对社区有价值。,39.746,28.875,22.538,18.785,20.118,17.244,76.119,0.321,0.31,0.316,0.132,0.152,0.141,0.256,0.294,0.274,0.719,0.723,0.721
They didn't view these people as broken and useless;  they were seen as rare and valuable.,老人们从来不会被视作无用的 相反，他们被视为非常珍贵的,他们并不认为这些人是破碎的、无用的；而是认为这些人是有缺陷的、无用的。它们被认为是稀有且有价值的。,22.449,13.678,7.356,4.561,5.485,4.701,157.692,0.286,0.2,0.235,0.067,0.038,0.049,0.25,0.121,0.163,0.723,0.698,0.71
"A few years ago, I was in a food market in the town where I grew up  in that red zone in northeastern Pennsylvania,  and I was standing over a bushel of tomatoes.",几年前的一天，我正在故乡的菜市场 就是宾州东北部的那片红区 我当时正站在一筐西红柿旁边,几年前，我在宾夕法尼亚州东北部红色地带长大的小镇的一个食品市场里，站在一蒲式耳的西红柿旁。,55.556,40.514,28.399,18.173,17.303,14.831,73.171,0.4,0.381,0.39,0.091,0.083,0.087,0.348,0.32,0.333,0.765,0.741,0.753
It was summertime: I had shorts on.,因为正值夏天，我穿的是短裤,那是夏天：我穿着短裤。,53.057,36.429,18.318,11.25,15.606,13.377,61.538,0.444,0.5,0.471,0,0,0,0.333,0.375,0.353,0.769,0.815,0.791
"I hear this guy, his voice behind me say, ""Well, if it isn't Aimee Mullins.""",在我的身后传来了一个男子的声音“唉？这不是艾米•慕林斯么”,我听到这个人，他的声音在我身后说，“好吧，如果不是艾米·穆林斯的话。”,51.429,34.786,22.24,13.617,14.529,12.453,82.759,0.474,0.409,0.439,0.158,0.125,0.14,0.35,0.28,0.311,0.778,0.746,0.762
"And I turn around, and it's this older man. I have no idea who he is.",我转过身来，发现是一位我不认识的老者,我转过身来，发现是这个年长的男人。我不知道他是谁。,48,42.426,37.979,34.962,31.17,26.717,77.778,0.727,0.533,0.615,0.545,0.353,0.429,0.667,0.444,0.533,0.849,0.793,0.82
"And I said, ""I'm sorry, sir, have we met? I don't remember meeting you.""",然后我说，“先生不好意思，我们见过面么？我记不得你了”,我说：“对不起，先生，我们见过面吗？我不记得见过你。”,74.074,47.741,33.162,25.984,24.431,20.941,48.148,0.667,0.556,0.606,0.25,0.211,0.229,0.647,0.55,0.595,0.835,0.863,0.849
"He said, ""Well, you wouldn't remember meeting me.",他说，“嗯，你是不会记得咱们之间的那次见面的,他说：“好吧，你不会记得见过我。,42.956,31.37,21.299,15.034,19.635,16.83,63.636,0.5,0.5,0.5,0.2,0.231,0.214,0.438,0.5,0.467,0.768,0.837,0.801
"I mean, when we met I was delivering you from your mother's womb.""",因为当时，我正把你从你母亲的子宫里接生出来“,我的意思是，当我们相遇时，我正在把你从你母亲的子宫里接生。”,56.667,52.303,48.943,45.649,40.601,34.801,63.636,0.667,0.526,0.588,0.6,0.409,0.486,0.688,0.478,0.564,0.863,0.807,0.834
"Oh, that guy.",呵呵，我遇到的就是这么一个人,哦，那个家伙。,10.511,5.677,3.899,2.873,4.762,4.082,92.857,0.111,0.2,0.143,0,0,0,0.111,0.2,0.143,0.612,0.683,0.645
"And, but of course, actually, it did click.",当然，最后我想起来了,当然，实际上，它确实点击了。,28.571,20.966,15.415,11.359,8.715,7.47,100,0.429,0.375,0.4,0.167,0.125,0.143,0.429,0.333,0.375,0.708,0.69,0.699
"This man was Dr. Kean,  a man that I had only known about through my mother's stories of that day,  because, of course, typical fashion, I arrived late for my birthday by two weeks.",这个人就是基恩大夫 我只是通过母亲当年给我讲的故事才知道这么一个人 我是一个晚产儿，晚产了两周,这个人就是基恩博士，我只是通过母亲那天的故事才知道这个人，因为，当然，典型的时尚，我生日晚了两周。,61.224,51.755,45.01,39.272,33.123,28.391,53.333,0.64,0.667,0.653,0.357,0.345,0.351,0.586,0.531,0.557,0.798,0.774,0.786
"And so my mother's prenatal physician had gone on vacation,  so the man who delivered me was a complete stranger to my parents.",当时负责在我母亲临产期照顾她的医生度假去了 所以最后就由基恩大夫这个我父母之前都不认识的人给我接生了,我母亲的产前医生去度假了，所以接生我的人对我父母来说是完全陌生的。,41.053,26.665,14.136,7.338,16.874,14.463,69.388,0.379,0.579,0.458,0.094,0.136,0.111,0.333,0.478,0.393,0.694,0.751,0.721
"And, because I was born without the fibula bones,  and had feet turned in, and a few toes in this foot and a few toes in that,  he had to be the bearer -- this stranger had to be the bearer of bad news.",我出生的时候就没有腓骨 我的脚、脚趾都错位了 基恩大夫不得不传达两个坏消息,而且，因为我生来就没有腓骨，而且脚是内翻的，这只脚有几个脚趾，那只脚有几个脚趾，所以他一定是带来者——这个陌生人一定是坏消息的带来者。,23.881,15.915,11.594,8.354,7.559,6.479,151.429,0.421,0.276,0.333,0.1,0.051,0.068,0.381,0.17,0.235,0.677,0.617,0.646
"He said to me, ""I had to give this prognosis to your parents  that you would never walk,  and you would never have the kind of mobility that other kids have  or any kind of life of independence,  and you've been making liar out of me ever since.""","他对我说,""我当年把诊断报告告诉了你父母 我说，你将永远不会行走 你也永远不会像其他孩子那样跑跑跳跳 你将永远无法独立的生活 可从那以后，你却通过你的努力把我变成了一个大骗子”",他对我说：“我必须向你的父母做出这样的预测：你永远不会走路，你永远不会像其他孩子那样行动自如，也不会过上任何独立的生活，你一直在撒谎。从那时起我就这样了。”,52.234,39.627,31.282,25.951,24.16,20.709,61.905,0.5,0.514,0.507,0.245,0.25,0.247,0.455,0.481,0.467,0.758,0.767,0.763
"The extraordinary thing is that he said he had saved  newspaper clippings throughout my whole childhood,  whether winning a second grade spelling bee,  marching with the Girl Scouts, you know, the Halloween parade,  winning my college scholarship, or any of my sports victories,  and he was using it, and integrating it into teaching resident students,  med students from Hahnemann Medical School and Hershey Medical School.",（鼓掌） 基恩先生做了一件伟大的事情 他从我童年开始就把报纸上所有关于我的报道都剪下来收集了 其中包括我二年级的时候在一次拼字比赛中获胜 和女童子军在万圣节的时候参加游行 大学的时候获得奖学金，以及我种种在体育比赛中的成绩 基恩大夫在用我的故事教育当地的学生们 他用我的故事教育哈奈曼医学院和赫尔希医学院的学生,非凡的是，他说他保存了我整个童年的剪报，无论是赢得二年级拼字比赛，与女童子军一起游行，你知道的，万圣节游行，赢得我的大学奖学金，或者我的任何体育胜利，他正在使用它，并将其融入到哈内曼医学院和好时医学院的住院学生、医学生的教学中。,41.663,27.679,18.757,12.756,16.473,14.12,76.351,0.306,0.373,0.336,0.074,0.088,0.081,0.247,0.306,0.273,0.684,0.729,0.706
"And he called this part of the course the X Factor,  the potential of the human will.",他把我的这些故事叫做他课程中的X因素 叫做人类意志所激发的无穷潜力,他将这部分课程称为“X因素”，即人类意志的潜力。,41.798,30.191,20.728,13.203,17.861,15.309,65.625,0.471,0.5,0.485,0.1,0.133,0.114,0.381,0.5,0.432,0.763,0.824,0.792
No prognosis can account for how powerful this could be  as a determinant in the quality of someone's life.,没有任何医疗诊断能够解释这种意志的威力有多么巨大 意志能影响一个人的生活质量,没有任何预测可以解释它作为一个人生活质量的决定因素有多么强大。,47.847,38.022,29.102,19.516,20.427,17.509,56.757,0.526,0.556,0.541,0.2,0.235,0.216,0.333,0.389,0.359,0.774,0.805,0.789
"And Dr. Kean went on to tell me,  he said, ""In my experience, unless repeatedly told otherwise,  and even if given a modicum of support,  if left to their own devices, a child will achieve.""",基恩大夫继续对我说 “尽管有很多次别人都反驳我的观点，根据我的经历 对于孩子们，即使给予他们的支持很少 他们自己也能有所成就”,基恩博士接着告诉我，他说，“根据我的经验，除非反复告知，否则即使给予一点点支持，如果让他们自己决定，孩子也会取得成就。”,51.667,35.014,24.55,17.951,16.045,13.753,71.667,0.485,0.5,0.492,0.108,0.108,0.108,0.41,0.421,0.416,0.775,0.769,0.772
"See, Dr. Kean made that shift in thinking.",看吧，基恩大夫的想法改变了,看，基恩博士改变了想法。,69.003,53.719,37.586,22.825,23.409,20.065,46.154,0.625,0.625,0.625,0.286,0.286,0.286,0.5,0.5,0.5,0.833,0.861,0.847
He understood that there's a difference between the medical condition  and what someone might do with it.,他认识到了医疗诊断的结果以及一个人处理这种结果的方式之间 是存在差异的,他明白医疗状况和人们可能采取的行动之间存在差异。,30.215,20.809,13.742,9.501,13.571,11.632,67.647,0.333,0.429,0.375,0.05,0.077,0.061,0.286,0.429,0.343,0.756,0.786,0.771
"And there's been a shift in my thinking over time,  in that, if you had asked me at 15 years old,  if I would have traded prosthetics for flesh-and-bone legs,  I wouldn't have hesitated for a second.",几年来，我的想法也有了一定的转变 比如，如果你在我15岁的时候问我 愿不愿意用我现在的假肢换一双真腿 我会毫不犹豫地答应,随着时间的推移，我的想法也发生了转变，如果你在 15 岁时问我，是否愿意用假肢换取有骨的腿，我会毫不犹豫。,62.084,48.579,38.414,30.415,29.135,21.852,53.571,0.567,0.607,0.586,0.278,0.303,0.29,0.514,0.559,0.535,0.816,0.839,0.827
I aspired to that kind of normalcy back then.,因为我渴望得到那种“正统”,那时我渴望那种常态。,37.041,30.244,20.384,14.55,15.972,13.69,61.538,0.375,0.5,0.429,0.143,0.2,0.167,0.375,0.5,0.429,0.717,0.755,0.736
"But if you ask me today, I'm not so sure.",但是如果你今天问我同样的问题，我就要三思了,但如果你今天问我，我不太确定。,44.688,38.701,33.8,30.477,39.289,33.676,52.381,0.462,0.545,0.5,0.385,0.455,0.417,0.5,0.583,0.538,0.739,0.796,0.766
"And it's because of the experiences I've had with them,  not in spite of the experiences I've had with them.",这是因为我使用假肢的这段经历 对我的影响很大 也许，我已经由内而外地脱胎换骨了,这是因为我和他们一起经历过，而不是尽管我和他们一起经历过。,28.787,19.751,14.872,11.772,13.099,11.227,78.378,0.278,0.385,0.323,0.1,0.154,0.121,0.286,0.316,0.3,0.616,0.649,0.632
And perhaps this shift in me has happened  because I've been exposed to more people who have opened doors for me than those who have put lids and cast shadows on me.,因为，在我所遇到的人里面 为我开启通向新世界的门的人远远多于给我心灵蒙上阴影的人,也许我身上发生了这种转变，因为我接触到的为我敞开大门的人比那些给我蒙上阴影的人更多。,50,36.626,25.595,18.951,17.498,14.998,74.359,0.381,0.348,0.364,0.16,0.148,0.154,0.429,0.414,0.421,0.771,0.747,0.759
"See, all you really need is one person  to show you the epiphany of your own power, and you're off.",看吧，你们所需要的就是这样一个人 他能向你展示你自己的力量 人类的灵魂是包容的,你看，你真正需要的只是一个人向你展示你自己力量的顿悟，然后你就出发了。,56.668,43.462,33.573,25.854,24.225,20.764,56.757,0.381,0.444,0.41,0.167,0.174,0.17,0.4,0.417,0.408,0.752,0.766,0.759
"If you can hand somebody the key to their own power --  the human spirit is so receptive -- if you can do that and open a door for someone at a crucial moment,  you are educating them in the best sense.",如果你能够给他人一把钥匙，让他自己用这把钥匙开启自己的力量 并且在关键时刻，你能用这把钥匙为别人开启一扇门 你就是在用最好的方式对他们进行教育,如果你能把掌握自己力量的钥匙交给某人——人类的精神是如此具有包容性——如果你能做到这一点，并在关键时刻为某人打开一扇门，那么你就是在以最好的方式教育他们。,58.442,41.131,29.167,21.179,18.817,16.129,68.116,0.613,0.528,0.567,0.175,0.159,0.167,0.386,0.354,0.37,0.812,0.752,0.781
You're teaching them to open doors for themselves.,因为你在教他们自己为自己开启通向新世界之门,你正在教他们为自己打开大门。,43.324,31.791,24.839,17.05,23.997,20.569,66.667,0.417,0.556,0.476,0.167,0.25,0.2,0.385,0.556,0.455,0.781,0.849,0.813
"In fact, the exact meaning of the word ""educate""  comes from the root word ""educe.""",实际上，“教育”这个词的意义 来源于“唤出”这个词,事实上，“教育”一词的确切含义来自词根“教育”。,58.333,42.135,31.84,26.059,22.75,19.5,58.333,0.455,0.417,0.435,0.25,0.25,0.25,0.467,0.467,0.467,0.841,0.849,0.845
"It means ""to bring forth what is within,  to bring out potential.""",“唤出”，即把深藏在里面的东西引出来 发掘潜能,它的意思是“激发内在，激发潜力”。,30.684,8.453,4.46,2.772,6.863,5.882,90.909,0.286,0.364,0.32,0,0,0,0.143,0.167,0.154,0.635,0.687,0.66
"So again, which potential do we want to bring out?",那么，我们究竟希望发掘出什么样的潜能呢,话又说回来，我们想发挥哪种潜力？,25.907,16.922,11.925,8.575,8.621,7.389,78.947,0.2,0.167,0.182,0.111,0.091,0.1,0.2,0.167,0.182,0.751,0.714,0.732
"There was a case study done in 1960s Britain,  when they were moving from grammar schools to comprehensive schools.",这里有个上世纪60年代英国的案例 英国的孩子从小学升到初中这一过程,有一个 20 世纪 60 年代英国的案例研究，当时他们从文法学校转向综合学校。,45.455,35.755,32.072,29.621,28.33,21.247,67.742,0.412,0.368,0.389,0.294,0.263,0.278,0.368,0.35,0.359,0.758,0.737,0.747
"It's called the streaming trials. We call it ""tracking"" here in the States.",在英国叫做“统考”，在美国我们管它叫“追踪考试”,这称为流媒体试验。在美国，我们称之为“跟踪”。,41.628,23.313,13.532,8.776,10.313,8.84,70.833,0.462,0.462,0.462,0.067,0.077,0.071,0.312,0.357,0.333,0.801,0.784,0.792
"It's separating students from A, B, C, D and so on.",考试把学生们按照成绩从高到低分成A、B、C、D四等,它将学生与 A、B、C、D 等分开。,39.173,32.274,27.675,24.69,37.514,32.155,68,0.375,0.5,0.429,0.353,0.462,0.4,0.444,0.571,0.5,0.712,0.8,0.753
"And the ""A students"" get the tougher curriculum, the best teachers, etc.",A等的学生学更难的课程，有更好的老师，等等,而“A学生”则获得更严格的课程、最好的老师等等。,54.167,40.602,28.223,18.088,17.167,14.714,66.667,0.545,0.375,0.444,0.154,0.125,0.138,0.5,0.412,0.452,0.818,0.801,0.809
"Well, they took, over a three-month period,  D-level students, gave them A's,  told them they were ""A's,"" told them they were bright,  and at the end of this three-month period,  they were performing at A-level.",这个实验为期三个月 按照成绩应该被归为D等学生被告知他们是A等的学生 他们被告知自己是非常聪明的 三个月的实验结束的时候 这群学生的表现已经相当于A等生了,嗯，他们在三个月内招收了 D 级学生，给他们 A，告诉他们他们是“A”，告诉他们他们很聪明，在这三个月结束时，他们的表现是一个等级。,41.984,26.331,15.712,7.247,12.52,9.39,71.233,0.4,0.429,0.414,0.07,0.077,0.073,0.304,0.311,0.308,0.716,0.749,0.732
"And, of course, the heartbreaking, flip side of this study,  is that they took the ""A students"" and told them they were ""D's.""",当然，这个案例研究也有其令人心寒的另一面 那就是，那些本应该被归为A等的学生被告知他们是D等学生,当然，这项研究令人心碎的另一面是，他们带走了“A 学生”，并告诉他们他们是“D”。,48.269,36.751,26.16,16.882,18.671,14.004,59.574,0.385,0.5,0.435,0.1,0.115,0.107,0.355,0.407,0.379,0.748,0.824,0.784
And that's what happened at the end of that three-month period.,三个月的实验结束的时候,这就是三个月结束时发生的事情。,46.667,31.623,19.74,13.38,12.631,10.827,90.909,0.667,0.4,0.5,0.167,0.111,0.133,0.571,0.4,0.471,0.778,0.708,0.741
"Those who were still around in school, besides the people who had dropped out.",他们中的很多人已经辍学了,那些还在学校的人，除了退学的人。,25,9.129,5.299,3.459,4.167,3.571,116.667,0.25,0.2,0.222,0,0,0,0.25,0.167,0.2,0.671,0.667,0.669
A crucial part of this case study was that the teachers were duped too.,这个实验的一个要点就是，参与实验的老师们也是不知情的,这个案例研究的一个关键部分是老师们也被骗了。,37.898,30.046,22.434,14.919,15.715,13.47,73.077,0.538,0.467,0.5,0.214,0.214,0.214,0.375,0.4,0.387,0.759,0.786,0.772
The teachers didn't know a switch had been made.,老师们不知道学生被调包了,老师们并不知道已经进行了转换。,46.667,36.515,27.374,17.098,15.104,12.946,75,0.375,0.375,0.375,0.143,0.143,0.143,0.375,0.375,0.375,0.784,0.757,0.77
"They were simply told, ""These are the 'A-students,' these are the 'D-students.'""  And that's how they went about teaching them and treating them.","老师们只是被告知哪些是A等生，哪些是D等生 老师也随即""因材施教""了",他们只是被告知，“这些是‘A 级学生’，这些是‘D 级学生’。”这就是他们如何教导和对待他们的。,34.783,23.261,17.007,13.611,12.268,9.201,93.939,0.438,0.304,0.359,0.105,0.071,0.085,0.381,0.242,0.296,0.726,0.722,0.724
"So, I think that the only true disability is a crushed spirit,  a spirit that's been crushed doesn't have hope,  it doesn't see beauty,  it no longer has our natural, childlike curiosity  and our innate ability to imagine.",所以，我认为真正的“残疾”是一个被击败的灵魂 一个对未来没有希望的灵魂 一个无法感知美好的灵魂 一个丧失了孩子般天真的好奇心的灵魂 一个丧失了人类与生俱来的想象力的灵魂,所以，我认为唯一真正的残疾是被压垮的精神，被压垮的精神没有希望，它看不到美，它不再有我们自然的、孩童般的好奇心和我们与生俱来的想象能力。,44.377,33.322,27.027,21.879,21.737,18.632,63.75,0.433,0.433,0.433,0.167,0.162,0.164,0.348,0.381,0.364,0.751,0.789,0.769
"If instead, we can bolster a human spirit to keep hope,  to see beauty in themselves and others,  to be curious and imaginative,  then we are truly using our power well.",假如，我们能够让人类的灵魂始终保持希望 让这灵魂能看到自己以及他人的美 赋予这灵魂好奇心以及想象力 那么我们就算是在很好地运用自己的力量了,相反，如果我们能够增强人类精神，保持希望，看到自己和他人的美丽，保持好奇心和想象力，那么我们就真正很好地利用了我们的力量。,58.903,47.551,37.554,26.655,23.854,20.446,51.515,0.567,0.607,0.586,0.189,0.2,0.194,0.462,0.486,0.474,0.804,0.822,0.813
"When a spirit has those qualities, we are able to create new realities  and new ways of being.",只要一个灵魂仍然具备上述的那些品质，那么它就能创造无限可能 以及新的生活方式,当一种精神具有这些品质时，我们就能够创造新的现实和新的存在方式。,40.094,25.764,12.369,7.268,11.594,9.938,70.27,0.333,0.368,0.35,0.048,0.053,0.05,0.318,0.333,0.326,0.771,0.82,0.794
"I'd like to leave you with a poem  by a fourteenth-century Persian poet named Hafiz  that my friend, Jacques Dembois told me about,  and the poem is called ""The God Who Only Knows Four Words"":  ""Every child has known God,  not the God of names,  not the God of don'ts,  but the God who only knows four words and keeps repeating them,  saying, 'Come dance with me.","我想在最后送给大家一首诗 诗的作者是十四世纪的波斯诗人哈菲斯 这首诗是我的一个朋友，雅克•邓波讲给我的 诗的名字叫《一个只知道四个字的神》 ""每个孩子都知道神的存在 不是有名字的神 不是给你施加种种金规玉律的神 而是一个只会说四个字，并且一遍又一遍重复着它们的神 祂在说，与我共舞",我想留给你们一首十四世纪波斯诗人哈菲兹的诗，是我的朋友雅克·登布瓦告诉我的，这首诗叫做《只知道四个字的上帝》：“每个孩子都认识上帝，不是名字之神，不是禁止之神，而是只知道四个词并不断重复它们的神，说：“来和我跳舞吧。”,54.232,39.822,27.851,20.641,23.147,19.84,58.333,0.517,0.566,0.541,0.179,0.224,0.199,0.407,0.5,0.448,0.778,0.822,0.799
"Come, dance with me. Come, dance with me.'""  Thank you.",与我共舞！” 谢谢大家,来吧，和我一起跳舞吧。来吧，和我一起跳舞。’”谢谢。,19.231,12.403,8.622,6.11,5.233,4.485,220,0.429,0.273,0.333,0.167,0.071,0.1,0.429,0.143,0.214,0.776,0.695,0.733
"You know, what I do is write for children,  and I'm probably America's  most widely read children's author, in fact.",正如你们所知，我的工作是写儿童读物 实际上，我也许是美国 最广泛的儿童读物作者,你知道，我所做的是为儿童写作，事实上，我可能是美国阅读最广泛的儿童作家。,70.244,46.338,33.278,23.892,23.311,19.981,56.757,0.438,0.368,0.4,0.211,0.174,0.19,0.524,0.44,0.478,0.811,0.834,0.822
And I always tell people  that I don't want to show up looking like a scientist.,我经常告诉其他人 我不想被看成一个科学家,我总是告诉人们我不想看起来像个科学家。,63.158,45.883,33.368,21.952,20.065,17.198,52.632,0.444,0.4,0.421,0.111,0.1,0.105,0.5,0.455,0.476,0.824,0.832,0.828
"You can have me as a farmer, or in leathers,  and no one has ever chose farmer.",你能把我当做一个农民，或者穿着皮衣的人 但是没人曾选是农民,你可以让我当农民，也可以穿皮革，但从来没有人选择过农民。,50,27.217,14.176,8.688,11.443,9.809,71.429,0.294,0.294,0.294,0.059,0.053,0.056,0.333,0.3,0.316,0.758,0.777,0.768
I'm here today to talk to you  about circles and epiphanies.,我今天来告诉你们 是关于循环和顿悟,今天我来这里是想和大家谈谈圈子和顿悟。,42.105,26.491,16.042,10.657,10.776,9.236,81.25,0.4,0.364,0.381,0.111,0.091,0.1,0.4,0.333,0.364,0.732,0.711,0.722
"And you know, an epiphany  is usually something you find that you dropped someplace.",顿悟 通常指你发现你陷入某些境况,你知道，顿悟通常是你发现你丢在某个地方的东西。,39.13,32.668,27.292,21.233,15.908,13.636,93.333,0.5,0.286,0.364,0.375,0.2,0.261,0.556,0.312,0.4,0.819,0.749,0.783
You've just got to go around the block  to see it as an epiphany.,你需要四处的碰壁 去寻找顿悟,你只需绕着街区走一圈就能看到它的顿悟。,26.316,12.091,7.548,5.091,5.312,4.553,115.385,0.375,0.214,0.273,0,0,0,0.375,0.214,0.273,0.665,0.634,0.649
That's a painting of a circle.,这是一幅循环的图片,那是一幅圆形的画。,44.444,33.333,25.132,19.071,13.955,11.961,55.556,0.4,0.286,0.333,0,0,0,0.4,0.286,0.333,0.765,0.772,0.769
A friend of mine did that -- Richard Bollingbroke.,我的一个朋友画的--理查德·鲍林布罗克,我的一个朋友理查德·博林布鲁克就是这么做的。,63.636,52.223,43.413,36.228,29.09,24.934,61.111,0.6,0.5,0.545,0.4,0.333,0.364,0.545,0.462,0.5,0.825,0.769,0.796
It's the kind of complicated circle  that I'm going to tell you about.,这是中很复杂的 我将要告诉你们的,这就是我要告诉你的那种复杂的循环。,64.706,44.967,34.325,23.183,20.516,17.586,60,0.4,0.4,0.4,0.1,0.1,0.1,0.273,0.273,0.273,0.745,0.727,0.736
"My circle began back in the '60s  in high school in Stow, Ohio  where I was the class queer.",我的循环起源于60世纪 源于俄亥俄州，斯朵高中 当我还是个捣蛋鬼,我的圈子始于 20 世纪 60 年代，当时我在俄亥俄州斯托上高中，当时我是班上的酷儿。,45.946,27.672,16.356,10.651,13.015,9.762,82.759,0.467,0.368,0.412,0.067,0.048,0.056,0.375,0.25,0.3,0.766,0.746,0.756
"I was the guy beaten up bloody  every week in the boys' room,  until one teacher saved my life.",我是那种每周在男生宿舍 被打到出血的那种人 直到一个老师把我从这种生活中解救出来,我就是那个每周在男生宿舍里被打得血肉模糊的人，直到一位老师救了我的命。,60.316,42.322,31.035,24.199,24.182,20.728,57.895,0.476,0.476,0.476,0.136,0.136,0.136,0.478,0.478,0.478,0.812,0.844,0.828
She saved my life by letting me go to the bathroom  in the teachers' lounge.,她把我解救出这种生活让我住在 老师休息室的浴室里,她让我去教师休息室的卫生间，救了我的命。,47.339,32.745,24.869,19.866,19.333,16.571,69.565,0.333,0.385,0.357,0.133,0.143,0.138,0.312,0.333,0.323,0.749,0.784,0.766
She did it in secret.,她悄悄的做着,她是秘密做的。,42.857,18.898,12.132,8.643,7.143,6.122,83.333,0.5,0.333,0.4,0,0,0,0.5,0.333,0.4,0.74,0.723,0.731
She did it for three years.,她一做就做了3年,她这样做了三年。,50,26.726,18.123,13.135,10.714,9.184,62.5,0.429,0.5,0.462,0.143,0.2,0.167,0.375,0.5,0.429,0.782,0.793,0.788
And I had to get out of town.,但是我不得不离开这个城镇,我不得不出城。,34.967,29.256,25.591,21.281,31.071,26.633,58.333,0.333,0.4,0.364,0.2,0.25,0.222,0.333,0.4,0.364,0.764,0.862,0.81
"I had a thumb, I had 85 dollars,  and I ended up in San Francisco, California --  met a lover --  and back in the '80s, found it necessary  to begin work on AIDS organizations.",带着特长，还有85美元， 最终我落脚在斯圣弗朗西科，加利福尼亚-- 遇到了我的爱人-- 回想到80年代，我发现 开始在艾滋病组织工作是很必要的,我有一个拇指，我有 85 美元，最后我来到了加利福尼亚州的旧金山——遇到了一个情人——回到 80 年代，我发现有必要开始为艾滋病组织工作。,61.905,50.951,43.242,37.062,33.162,24.872,49.206,0.484,0.556,0.517,0.243,0.257,0.25,0.421,0.41,0.416,0.783,0.803,0.793
"About three or four years ago,  I got a phone call in the middle of the night  from that teacher, Mrs. Posten,  who said, ""I need to see you.",大约三四年之前 我在深夜接到了一通 来自于那个老师，普斯顿老师的电话 她说，“我需要见你,大约三四年前，我在半夜接到那位老师波斯顿夫人的电话，她说：“我需要见你。,70.109,54.44,40.872,30.804,30.558,26.193,39.024,0.652,0.682,0.667,0.32,0.348,0.333,0.577,0.625,0.6,0.847,0.883,0.865
I'm disappointed  that we never got to know each other as adults.,我很失望 我们从来没有以成年人的姿态互相了解,我很失望我们成年后从未相互了解过。,60.438,45.714,35.315,29.388,32.006,27.433,57.143,0.333,0.4,0.364,0.273,0.333,0.3,0.333,0.4,0.364,0.815,0.861,0.837
"Could you please come to Ohio,  and please bring that man  that I know you have found by now.",你能来俄亥俄吗 请把那个你 寻找到的人也带过来,您能来俄亥俄州吗？请带上我知道您已经找到的那个人。,56,40.415,30.512,22.543,19.402,16.63,71.429,0.467,0.438,0.452,0.067,0.062,0.065,0.375,0.353,0.364,0.83,0.787,0.808
