en_test,zh_test,M2M100,BLEU-1,BLEU-2,BLEU-3,BLEU-4,CHRF,CHRF++,TER,ROUGE1-R,ROUGE1-P,ROUGE1-F,ROUGE2-R,ROUGE2-P,ROUGE2-F,ROUGEL-R,ROUGEL-P,ROUGEL-F,BERTSCORE-R,BERTSCORE-P,BERTSCORE-F
"It's called Pivot, and with Pivot what I can do  is I can choose to filter in one particular cause of deaths -- say, accidents.",它称为Pivot，我能用Pivot 选择过滤特殊死亡原因，譬如事故,"它被称为Pivot,而与Pivot我可以做的是我可以选择在一个特定的死亡原因过滤 - 说,事故。",44.737,31.101,20.05,12.319,23.885,17.914,95.833,0.615,0.348,0.444,0.143,0.077,0.1,0.533,0.286,0.372,0.788,0.705,0.744
"And, right away, I see there's a different pattern that emerges.",立刻，我看到一个不同的模式展现出来,"而且,我立刻看到一个不同的模式出现了。",73.684,60.698,53.333,48.838,44.044,37.752,41.176,0.7,0.583,0.636,0.444,0.364,0.4,0.6,0.5,0.545,0.906,0.864,0.885
"This is because, in the mid-area here,  people are at their most active,  and over here they're at their most frail.",这是因为，在中间这里 人们在他们最活跃的年龄 而在这里他们也是最体弱多病的时候,"这是因为,在这里的中间地区,人们处于最活跃的位置,而且在这里,他们处于最脆弱的位置。",57.143,40.896,27.548,18.095,17.34,14.863,56.757,0.588,0.588,0.588,0.182,0.174,0.178,0.565,0.481,0.52,0.806,0.789,0.797
"We can step back out again  and then reorganize the data by cause of death,  seeing that circulatory diseases and cancer  are the usual suspects, but not for everyone.",我们可以退回来 根据死亡原因重组数据 我们看到循环系统疾病和癌症 是致死的主要病症，但这个规律并非适用于每个人,"我们可以再次退出,然后根据死亡原因重新组织数据,看到循环疾病和癌症是常见的嫌疑人,但不是所有人。",53.669,43.487,36.635,30.842,27.205,23.319,59.615,0.481,0.52,0.5,0.222,0.231,0.226,0.464,0.481,0.473,0.784,0.807,0.796
If we go ahead and we filter by age --  say 40 years or less --  we see that accidents are actually  the greatest cause that people have to be worried about.,如果我们按照年龄过滤， 譬如40岁以下 我们可以看到 意外事故变成了人们需要格外小心的杀手,如果我们前进并根据年龄过滤 - 说40岁或更少 - 我们看到事故实际上是人们需要担心的最大原因。,51.163,41.297,29.224,20.8,18.523,13.893,63.415,0.476,0.417,0.444,0.19,0.16,0.174,0.5,0.423,0.458,0.784,0.755,0.769
"And if you drill into that, it's especially the case for men.",如果你进一步挖掘，会发现这一条尤其针对男性适用,"如果你在做这件事,这尤其适用于男人。",37.873,25.981,14.729,9.478,13.297,11.397,69.565,0.385,0.385,0.385,0.083,0.083,0.083,0.385,0.385,0.385,0.647,0.709,0.677
"So you get the idea  that viewing information, viewing data in this way,  is a lot like swimming  in a living information info-graphic.",好了，你大概明白这个工具的作用了 通过这种方式查看信息，数据 很像在 鲜活的信息资料图片中遨游。,"因此,你得到了观看信息的想法,以这种方式观看数据,就像在生活信息信息图中游泳一样。",46.459,29.031,18.05,10.885,13.591,11.649,66.667,0.4,0.476,0.435,0.071,0.08,0.075,0.31,0.346,0.327,0.749,0.774,0.761
"And if we can do this for raw data,  why not do it for content as well?",如果我们能够对原始数据这样做 为什么不也在内容上做呢？,"如果我们能为原始数据做到这一点,为什么不为内容做到这一点呢?",63.333,49.013,39.161,30.713,24.154,18.116,57.692,0.467,0.5,0.483,0.133,0.143,0.138,0.438,0.412,0.424,0.852,0.812,0.831
So what we have right here  is the cover of every single Sports Illustrated  It's all here; it's all on the web.,因此我们在这里展示 有史以来的 每一期体育画报的封面 全部在这里，全部在网络上。,"因此,我們在這裡正確的是每個單一的Sports Illustrated的覆蓋,它都在這裡;它都在網上。",32.381,13.413,6.361,3.712,4.68,3.51,78.378,0.235,0.222,0.229,0,0,0,0.318,0.269,0.292,0.71,0.724,0.717
You can go back to your rooms and try this after my talk.,你可以在我演讲结束后回到你的房间试试看。,"你可以回到你的房间,在我的谈话后尝试这个。",66.667,51.64,41.247,32.886,27.944,23.952,45,0.75,0.692,0.72,0.417,0.357,0.385,0.538,0.467,0.5,0.8,0.805,0.803
"With Pivot, you can drill into a decade.",使用Pivot，你能够以十年为单位查看。,"有了Pivot,你可以在十年内挖掘。",37.152,15.74,9.636,6.48,20.699,17.742,68.75,0.364,0.364,0.364,0,0,0,0.364,0.364,0.364,0.745,0.79,0.767
You can drill into a particular year.,你能够深入指定的某一年。,你可以在一个特定的年份。,50,21.32,13.148,8.914,9.848,8.442,66.667,0.375,0.375,0.375,0,0,0,0.375,0.375,0.375,0.759,0.785,0.771
You can jump right into a specific issue.,你能直接进入一个某一期,你可以直接跳到一个特定的问题。,33.333,21.822,12.235,7.859,7.937,6.803,90.909,0.429,0.3,0.353,0,0,0,0.429,0.3,0.353,0.777,0.734,0.755
"So I'm looking at this; I see the athletes  that have appeared in this issue, the sports.",比如我看到这个；我看见曾经出现在这期中的 运动员，体育。,"所以我正在看这件事;我看到在这个问题上出现的运动员,体育运动员。",56.25,40.411,25.371,15.405,16.455,14.104,74.074,0.562,0.5,0.529,0.125,0.105,0.114,0.471,0.4,0.432,0.778,0.768,0.773
"I'm a Lance Armstrong fan, so I'll go ahead and I'll click on that,  which reveals, for me, all the issues  in which Lance Armstrong's been a part of.",我是兰斯·阿姆斯特朗的粉丝，所以我继续点击 它就给我展示了所有 这只是兰斯·阿姆斯特朗所有问题中的一部分,"我是一个Lance Armstrong的粉丝,所以我会继续前进,我会点击它,这对我来说揭示了Lance Armstrong的一部分。",40.887,31.301,21.573,12.057,10.261,7.695,68,0.455,0.5,0.476,0.154,0.167,0.16,0.379,0.407,0.393,0.69,0.763,0.725
"Now, if I want to just kind of take a peek at these,  I might think,  ""Well, what about taking a look at all of cycling?""",（掌声欢呼） 现在，如果我仅仅是想取样这些数据的高峰 我会想， 好吧，看看所有自行车运动员如何？,"现在,如果我只是想在这些,我可能会想,“好吧,怎么看所有的骑自行车?”",45.089,33.109,19.565,9.684,16.907,14.492,64.444,0.4,0.476,0.435,0.074,0.083,0.078,0.321,0.36,0.34,0.726,0.798,0.76
"So I can step back, and expand on that.",因此，我可以退一步，并扩大这一点,"所以我可以回头,并扩展到这一点。",50,40.825,28.768,17.396,16.27,13.946,62.5,0.556,0.455,0.5,0.222,0.2,0.211,0.5,0.455,0.476,0.822,0.828,0.825
And I see Greg LeMond now.,我现在看见了格雷格·莱蒙德,现在我看到了格雷格·莱蒙德。,85.714,72.627,64.129,58.842,52.673,45.149,23.077,0.875,0.778,0.824,0.571,0.5,0.533,0.75,0.667,0.706,0.955,0.938,0.946
"And so you get the idea that when you  navigate over information this way --  going narrower, broader,  backing in, backing out --  you're not searching, you're not browsing.",因此你要明白 当你用这种方式浏览信息时 狭窄的，宽阔的， 后退，反向， 你不是在搜寻，不是在浏览。,"因此,你得到了想法,当你以这种方式浏览信息 - 变得更紧,更宽,支持,支持 - 你不是搜索,你不是浏览。",47.917,37.78,29.171,22.917,20.379,15.284,62.222,0.429,0.429,0.429,0.214,0.2,0.207,0.419,0.382,0.4,0.788,0.774,0.781
You're doing something that's actually a little bit different.,你做的事实际上有点不同。,你正在做一些实际上有点不同的事情。,70.588,55.572,46.867,41.412,35.998,30.855,50,0.875,0.7,0.778,0.286,0.222,0.25,0.75,0.6,0.667,0.872,0.8,0.834
"It's in between, and we think it changes  the way information can be used.",介于两者之间，并且我们认为 这改变了信息的使用方式,"它在中间,我们认为它改变了信息可以使用的方式。",62.443,49.455,38.203,29.914,25.033,21.457,54.167,0.615,0.571,0.593,0.25,0.214,0.231,0.538,0.467,0.5,0.803,0.829,0.816
So I want to extrapolate on this idea a bit  with something that's a little bit crazy.,因此，我推断在这个想法上 有些东西是有点疯狂。,所以我想在这个想法上稍微抽出一些有点疯狂的东西。,62.5,49.454,40.555,33.573,27.202,23.316,59.091,0.643,0.6,0.621,0.308,0.286,0.296,0.571,0.533,0.552,0.839,0.815,0.827
What we're done here is we've taken every single Wikipedia page  and we reduced it down to a little summary.,我们在这儿做的是摘取每个维基百科的页面 然后压缩为一个小小的摘要,"我们在这里所做的是,我们已经采取了每个维基百科页面,并将其缩小到一个小总结。",55.263,44.064,35.074,26.5,22.16,18.995,61.29,0.562,0.391,0.462,0.25,0.167,0.2,0.529,0.36,0.429,0.827,0.786,0.806
So the summary consists of just a little synopsis  and an icon to indicate the topical area that it comes from.,摘要包含了简介 一个图标显示它来自专业领域。,"因此,概述仅仅由一个小概述和一个图标,以表明它来自的主题区域。",29.032,24.097,18.178,12.102,10.491,8.993,104.762,0.417,0.294,0.345,0.182,0.105,0.133,0.417,0.25,0.312,0.736,0.691,0.713
I'm only showing the top 500  most popular Wikipedia pages right here.,我仅仅在这里展示前500个 最受欢迎的维基百科页面,我只是在这里展示顶级500个最受欢迎的维基百科页面。,79.167,74.211,70.504,66.896,63.745,54.639,22.727,0.846,0.786,0.815,0.667,0.615,0.64,0.846,0.786,0.815,0.929,0.905,0.917
"But even in this limited view,  we can do a lot of things.",但即使在这些有限的浏览中， 我们依然可以做很多事情。,"但即使在这个有限的观点,我们也可以做很多事情。",71.743,64.693,56.743,49.205,44.583,38.214,28,0.688,0.733,0.71,0.467,0.5,0.483,0.688,0.733,0.71,0.881,0.901,0.891
"Right away, we get a sense of what are the topical domains  that are most popular on Wikipedia.",立刻，我们得知 维基百科上最流行的是什么。,"即时,我们就知道什么是维基百科上最受欢迎的主题域。",56,40.415,30.512,24.947,21.786,18.674,65,0.667,0.533,0.593,0.182,0.143,0.16,0.5,0.4,0.444,0.832,0.788,0.81
I'm going to go ahead and select government.,我继续前进并选择政府。,"我要继续前进,选择政府。",83.333,72.822,64.244,54.525,40.467,34.686,18.182,0.667,0.667,0.667,0.4,0.4,0.4,0.667,0.667,0.667,0.926,0.901,0.914
"Now, having selected government,  I can now see that the Wikipedia categories  that most frequently correspond to that  are Time magazine People of the Year.",现在，通过选定后的政府， 我可以看到在维基百科类别中 最常对应的 是时代周刊年度风云人物,"现在,当选政府之后,我现在可以看到维基百科最常见的类别是《时间》杂志《年人》。",60.898,39.019,25.006,16.949,17.797,15.255,56.098,0.476,0.476,0.476,0.045,0.042,0.043,0.391,0.36,0.375,0.759,0.79,0.774
So this is really important because this is an insight  that was not contained within any one Wikipedia page.,这是很重要的 因为这是一项 不属于任何一个维基网页所载述的内容。,"因此,这是非常重要的,因为这是一个没有在任何维基百科页面中包含的洞察力。",50,37.796,25.615,17.865,16.587,14.217,70,0.412,0.412,0.412,0.118,0.105,0.111,0.389,0.35,0.368,0.82,0.791,0.805
It's only possible to see that insight  when you step back and look at all of them.,只有你退后几步俯瞰全局 才有可能看的透彻,只有当你回头看所有这些观点时才可以看到这一观点。,29.167,11.261,6.605,4.304,5.586,4.788,94.737,0.25,0.231,0.24,0,0,0,0.25,0.214,0.231,0.715,0.669,0.691
"Looking at one of these particular summaries,  I can then drill into the concept of  Time magazine Person of the Year,  bringing up all of them.",看看这些特殊摘要中的一种， 随后我能深入 时代杂志年度风云人物 深入他们。,"看着其中一个具体的摘要,我可以随后进入时间杂志《年度人物》的概念,把所有这些摘要都带回来。",44.444,26.591,9.368,4.703,10.059,8.622,94.118,0.353,0.25,0.293,0,0,0,0.222,0.148,0.178,0.783,0.75,0.766
"So looking at these people,  I can see that the majority come from government;  some have come from natural sciences;  some, fewer still, have come from business --  there's my boss --  and one has come from music.",所以，看看这些人 我可以看到大多数来自政府。 有一部分来自自然科学界。 更少的部分来自商界。 其中有我的老板。 一个来自音乐界。,"所以看着这些人,我可以看到大多数人来自政府;有些人来自自然科学;有些人,更少的是,来自商业 - 我的老板 - 一个来自音乐。",72.871,61.398,51.795,42.387,35.359,26.519,35.593,0.625,0.652,0.638,0.303,0.323,0.312,0.588,0.556,0.571,0.853,0.867,0.86
"And interestingly enough,  Bono is also a TED Prize winner.",而有趣的是， 波诺也是TED大奖得主。,"有趣的是,Bono也是TED奖的获奖者。",56.13,43.306,34.338,23.703,23.919,20.502,56.25,0.545,0.6,0.571,0.364,0.364,0.364,0.583,0.583,0.583,0.836,0.88,0.857
"So we can go, jump, and take a look at all the TED Prize winners.",因此我们能够继续，跳转，看看所有的TED大奖得主。,"所以我们可以去,跳跃,看看所有的TED奖得主。",56.281,47.985,40.434,33.995,36.839,31.576,43.478,0.538,0.583,0.56,0.308,0.333,0.32,0.5,0.538,0.519,0.856,0.881,0.868
"So you see, we're navigating the web for the first time  as if it's actually a web, not from page-to-page,  but at a higher level of abstraction.",所以你看，这是我们第一次在网络上遨游 仿佛的确是一张网，不仅一页一页的。 而且是在更高的抽象层次上的网。,"因此,你可以看到,我们第一次浏览网,就好像它实际上是一个网,不是从页面到页面,而是在更高的抽象水平上。",52.941,34.128,26.691,22.08,19.438,16.661,62,0.458,0.393,0.423,0.125,0.125,0.125,0.333,0.324,0.328,0.777,0.772,0.775
And so I want to show you one other thing  that may catch you a little bit by surprise.,所以我想告诉你另一件事 可能会让你吃惊。,"因此,我想向你展示另一件事,这可能会让你有点惊喜。",56,43.205,34.364,27.274,21.578,18.496,63.158,0.769,0.588,0.667,0.462,0.333,0.387,0.786,0.579,0.667,0.864,0.806,0.834
I'm just showing the New York Times website here.,我只是在这展示纽约时报网站。,我只是在这里展示《纽约时报》网站。,82.353,71.743,59.048,45.83,35.662,30.568,21.429,0.875,0.7,0.778,0.429,0.333,0.375,0.875,0.7,0.778,0.973,0.929,0.95
"So Pivot, this application --  I don't want to call it a browser; it's really not a browser,  but you can view web pages with it --  and we bring that zoomable technology  to every single web page like this.",Pivot，这个应用程序—— 我不想称之为浏览器，它确实不仅是一个浏览器， 你能用它浏览网页—— 并且我们给每个像这样的网页引入了可缩放技术。 并且我们给每个像这样的网页引入了可缩放技术。,"所以Pivot,这个应用程序 - 我不想称之为一个浏览器;它真的不是一个浏览器,但你可以看到网页与它 - 我们将这个 zoomable 技术到每个单个网页,如此。",45.427,33.539,25.574,20.453,24.413,18.309,60.714,0.469,0.5,0.484,0.105,0.111,0.108,0.315,0.447,0.37,0.762,0.799,0.78
"So I can step back,  pop right back into a specific section.",因此我可以退后， 退后到特定的地方,"所以我可以退一步,直接回到一个特定的部分。",38.095,30.861,24.683,17.001,14.073,12.063,81.25,0.444,0.333,0.381,0.222,0.182,0.2,0.4,0.333,0.364,0.81,0.769,0.789
"Now the reason why this is important is because,  by virtue of just viewing web pages in this way,  I can look at my entire browsing history  in the exact same way.",为什么这个是重要的是因为， 由于通过这种方式浏览网页的好处， 我能用完全相同的方式 看到我的全部浏览历史。,"现在,这很重要的原因是因为,由于我只是这样浏览网页,我可以看到我的整个浏览历史,完全相同的方式。",65.944,51.881,41.786,32.302,27.765,23.798,50,0.545,0.571,0.558,0.259,0.25,0.255,0.429,0.414,0.421,0.801,0.826,0.814
So I can drill into what I've done  over specific time frames.,因此我能深入 具体时间段的具体事件。,所以我可以在具体时间框架上做的事情。,44.444,28.006,21.403,15.989,13.543,11.608,64.706,0.375,0.25,0.3,0,0,0,0.333,0.25,0.286,0.799,0.768,0.784
"Here, in fact, is the state  of all the demo that I just gave.",这里，事实上， 是我刚才所有演示的情况。,"事实上,这里是我刚刚给出的所有演示文稿的状态。",60.87,47.047,34.805,21.427,20.213,17.326,57.895,0.727,0.615,0.667,0.182,0.154,0.167,0.583,0.5,0.538,0.85,0.823,0.836
And I can sort of replay some stuff that I was looking at earlier today.,我可以在某种程度上重放我今天早些时候看到的东西。,我可以再播放一些我今天早些时候看的东西。,65.498,58.197,51.757,44.739,45.575,39.065,37.5,0.583,0.636,0.609,0.417,0.455,0.435,0.615,0.667,0.64,0.798,0.873,0.834
"And, if I want to step back and look at everything,  I can slice and dice my history,  perhaps by my search history --  here, I was doing some nepotistic searching,  looking for Bing, over here for Live Labs Pivot.",如果我想退后一步看所一切东西， 我可以切割我的历史 也许是我的搜索历史。 这里，我做了一些相关搜索， 搜寻Bing，在这里有关微软Live Labs的Pivot。,"而且,如果我想回头看看一切,我可以滑动和讲述我的历史,尤其是我的搜索历史 - 在这里,我正在做一些不神秘的搜索,寻找Bing,在这里为Live Labs Pivot。",59.091,44.721,32.515,23.92,30.068,22.551,58.73,0.581,0.562,0.571,0.268,0.262,0.265,0.591,0.553,0.571,0.793,0.782,0.787
"And from these, I can drill into the web page  and just launch them again.",从这些，我可以深入网页 仅仅重启他们。,"从这些,我可以进入网页,只是重新启动它们。",61.905,46.547,32.463,17.558,18.782,16.099,44.444,0.545,0.545,0.545,0.2,0.182,0.19,0.545,0.5,0.522,0.893,0.873,0.883
"It's one metaphor repurposed multiple times,  and in each case it makes the whole greater  than the sum of the parts with the data.",这是同样的信息，因不同目的被多次组合使用， 每次重新组合，使得它比组合起来的整体所含信息更多。 每次重新组合，使得它比组合起来的整体所含信息更多。,"它是一個重複複次的形狀,在每個情況下,它使整體大於數據的部分的總數。",11.887,2.463,1.169,0.682,5.882,5.042,90.141,0.125,0.143,0.133,0,0,0,0.111,0.192,0.141,0.619,0.654,0.636
"So right now, in this world,  we think about data as being this curse.",现在，在这个世界上， 我们谈到数据常常提到这个诅咒。,"因此,现在,在这个世界上,我们认为数据是这种<unk>咒。",55.556,43.853,31.336,24.903,20.398,17.484,56,0.615,0.471,0.533,0.214,0.167,0.187,0.533,0.421,0.471,0.808,0.788,0.798
We talk about the curse of information overload.,我们谈论信息爆炸魔咒。,我们正在谈论信息过量的<unk>咒。,50,40.825,28.768,20.687,15.504,13.289,72.727,0.667,0.364,0.471,0.2,0.1,0.133,0.667,0.364,0.471,0.836,0.747,0.789
We talk about drowning in data.,我们谈论淹没在信息海洋中。,我们正在谈论数据中溺水。,53.669,29.963,16.044,10.136,12.753,10.931,61.538,0.5,0.571,0.533,0,0,0,0.5,0.571,0.533,0.775,0.777,0.776
"What if we can actually turn that upside down  and turn the web upside down,  so that instead of navigating from one thing to the next,  we get used to the habit of being able to go from many things to many things,  and then being able to see the patterns  that were otherwise hidden?",假设我们能把这种观念颠覆 把网络上下颠覆， 相对于单线信息相互链接的情况， 让我们开始习惯多样信息链接多样信息， 然后看到除此方式外无法看到的，隐藏规律？ 然后看到除此方式外无法看到的，隐藏规律？,"那么,如果我们能真正转向下方,转向下方的网,这样,而不是从一个事物到另一个事物的导航,我们会习惯于能够从许多事物到许多事物的习惯,然后能够看到不然隐藏的模式呢?",30.813,15.234,6.324,3.437,7.732,5.799,86.022,0.219,0.226,0.222,0.023,0.023,0.023,0.158,0.18,0.168,0.662,0.675,0.669
"If we can do that, then instead of being trapped in data,  we might actually extract information.",如果我们能做到这一点，而不是被困在数据中， 我们才能真正的获取信息。,"如果我们能做到这一点,那么而不是陷入数据中,我们实际上可以提取信息。",64.706,57.735,50,42.38,36.128,30.967,39.394,0.611,0.611,0.611,0.368,0.368,0.368,0.6,0.6,0.6,0.881,0.879,0.88
"And, instead of dealing just with information,  we can tease out knowledge.",并且，不仅仅是处理信息， 我们还可以梳理知识。,"而且,而不是只处理信息,我们可以抽出知识。",63.566,46.058,31.727,20.281,20.502,17.573,45.455,0.5,0.5,0.5,0.167,0.167,0.167,0.462,0.462,0.462,0.841,0.845,0.843
"And if we get the knowledge, then maybe even there's wisdom to be found.",如果我们获得知识，之后甚至可以发现智慧。,"如果我们得到了知识,那么也许甚至有智慧要找到。",52.174,37.722,23.841,16.134,15.662,13.424,65,0.545,0.429,0.48,0.1,0.077,0.087,0.545,0.429,0.48,0.833,0.816,0.824
"So with that, I thank you.",谢谢。,"所以,与此同时,我要感谢你。",14.286,7.412,4.855,3.377,4.762,3.571,400,0.5,0.143,0.222,0,0,0,0.5,0.125,0.2,0.757,0.56,0.643
Everybody talks about happiness these days.,最近大家都在谈论着快乐。,"今天,每个人都在谈论幸福。",38.462,31.009,25.954,20.448,15.274,13.092,75,0.429,0.333,0.375,0.167,0.125,0.143,0.429,0.333,0.375,0.817,0.803,0.81
"I had somebody count the number of books  with ""happiness"" in the title published in the last five years  and they gave up after about 40, and there were many more.",在过去的五年里，我请人数了近年来有多本书的 书名中提到“快乐”， 他们数到大约有40本，而且还有更多没数到的。,"我有人计算了在过去五年出版的标题中有“幸福”的书籍的数量,他们放弃了大约40之后,还有更多。",53.258,30.536,17.724,10.321,15.735,13.487,71.154,0.452,0.538,0.491,0.029,0.034,0.031,0.306,0.367,0.333,0.742,0.76,0.751
"There is a huge wave of interest in happiness,  among researchers.",现今越来越多研究者都开始对快乐 这个议题产生兴趣。,"在研究人员中,对幸福有着巨大的兴趣浪潮。",24.562,14.549,7.837,4.907,6.754,5.789,83.333,0.231,0.231,0.231,0,0,0,0.231,0.231,0.231,0.68,0.718,0.699
There is a lot of happiness coaching.,而且还有很多的“快乐教练”授课。,有很多幸福的教练。,35.733,24.812,15.927,11.152,21.594,18.509,62.5,0.4,0.667,0.5,0,0,0,0.4,0.667,0.5,0.712,0.808,0.757
Everybody would like to make people happier.,让其他人更快乐是他们的宗旨。,每个人都想让人们更快乐。,49.378,27.567,18.598,13.188,14.419,12.359,71.429,0.444,0.444,0.444,0.125,0.125,0.125,0.444,0.444,0.444,0.731,0.767,0.749
"But in spite of all this flood of work,  there are several cognitive traps  that sort of make it almost impossible to think straight  about happiness.",虽然此类工作多如牛毛， 但现仍存在几个认知上的陷阱， 这些陷阱将会增加使人领悟 快乐本质的难度。,"但是,尽管所有的劳动洪水,有几种认知漏洞,使它几乎不可能直接思考幸福。",15.03,5.764,3.357,2.171,3.824,3.277,91.111,0.136,0.15,0.143,0,0,0,0.08,0.091,0.085,0.654,0.68,0.666
And my talk today will be mostly about these cognitive traps.,我今天将主要谈论这些认知陷阱。,今天的谈话将主要是关于这些认知漏洞。,61.111,46.442,34.325,22.787,20.304,17.403,60,0.667,0.545,0.6,0.25,0.2,0.222,0.667,0.545,0.6,0.862,0.831,0.846
"This applies to laypeople thinking about their own happiness,  and it applies to scholars thinking about happiness,  because it turns out we're just as messed up as anybody else is.",这些陷阱既会影响到一般人对自身快乐的观感， 而且也会影响到学者对快乐的判断， 因为人无完人，我们皆会出错。,"这适用于人们思考自己的幸福,这适用于学者思考幸福,因为它表明我们像其他人一样被困。",24.845,12.083,5.274,2.949,6.535,5.601,84.314,0.208,0.263,0.233,0,0,0,0.156,0.2,0.175,0.676,0.711,0.693
The first of these traps  is a reluctance to admit complexity.,第一个陷阱是 不愿意去承认快乐的复杂性。,其中第一個缺陷是拒絕承認複雜性。,36.27,20.023,10.588,6.596,9.514,8.155,78.947,0.182,0.2,0.19,0,0,0,0.182,0.2,0.19,0.81,0.838,0.824
"It turns out that the word ""happiness""  is just not a useful word anymore,  because we apply it to too many different things.",事实证明快乐这个词 已不再是常用词汇了， 因为我们已用其来诠释太多的事物了。,"显然,“幸福”这个词只是不再是一个有用的词,因为我们把它应用到太多的不同事物。",48.718,35.806,25.876,14.811,15.221,13.046,66.667,0.45,0.375,0.409,0.15,0.115,0.13,0.429,0.333,0.375,0.782,0.78,0.781
"I think there is one particular meaning to which we might restrict it,  but by and large,  this is something that we'll have to give up  and we'll have to adopt the more complicated view  of what well-being is.",我想我们应该限定它的意思， 不过，一般而言， 我们得放弃这个想法 并用更复杂的观点来看 何谓快乐生活。,"我认为有一个特定的意义,我们可以限制它,但在很大程度上,这是我们将不得不放弃的东西,我们将不得不采用更复杂的观点,什么是福利。",39.683,25.299,17.376,13.675,13.201,11.315,97.872,0.375,0.3,0.333,0.111,0.083,0.095,0.357,0.25,0.294,0.761,0.721,0.741
"The second trap is a confusion between experience and memory;  basically, it's between being happy in your life,  and being happy about your life  or happy with your life.",第二个陷阱是经验和记忆间的混淆： 基本上这是在生活中体会快乐 和觉得生活很快乐 以及对于你的生活满意之间的差别。,"第二个陷阱是体验与记忆之间的混乱;基本上,它是在你的生活中快乐,在你的生活中快乐,或者在你的生活中快乐。",64.139,49.672,36.445,24.952,23.176,19.865,47.17,0.44,0.55,0.489,0.172,0.208,0.189,0.433,0.361,0.394,0.812,0.838,0.825
"And those are two very different concepts,  and they're both lumped in the notion of happiness.",这两者的意义相距甚远， 且在论及快乐时会混为一谈。,"这些都是两个非常不同的概念,两者都陷入了幸福的概念。",19.231,8.771,5.432,3.633,3.872,3.319,95.833,0.231,0.214,0.222,0,0,0,0.231,0.176,0.2,0.649,0.663,0.656
"And the third is the focusing illusion,  and it's the unfortunate fact that we can't think about any circumstance  that affects well-being  without distorting its importance.",第三个陷阱则是聚焦错觉， 令人遗憾的是，任何情况下，当我们想到一些 关于快乐生活的情景时， 我们势必会觉得它特别重要。,"第三个是焦点幻觉,这是不幸的事实,我们无法想象任何影响福利的情况,而不会扭曲其重要性。",34.377,20.578,9.139,5.153,10.936,9.374,75,0.259,0.318,0.286,0,0,0,0.182,0.24,0.207,0.707,0.726,0.716
"I mean, this is a real cognitive trap.",我的意思是，这是一个真正的认知陷阱。,这是一个真正的认知陷阱。,60.653,60.653,60.653,60.653,100,85.714,33.333,0.636,1,0.778,0.545,1,0.706,0.583,1,0.737,0.85,0.976,0.909
There's just no way of getting it right.,它避无可避。,只是没有办法得到正确的。,8.333,6.155,4.558,3.386,1.389,1.19,183.333,0.25,0.143,0.182,0,0,0,0.2,0.143,0.167,0.611,0.572,0.591
"Now, I'd like to start with an example  of somebody who had a question-and-answer session  after one of my lectures reported a story,  and that was a story --  He said he'd been listening to a symphony,  and it was absolutely glorious music  and at the very end of the recording,  there was a dreadful screeching sound.",现在，我想以一个例子来开头， 有个人上过我的课后 于答问之时向我讲述了一则故事。 [不清...] 他说他有次在听交响乐时 觉得音乐真是动听极了， 但在演奏快结束之时， 却冒出了尖锐刺耳的声音。,"现在,我想开始一个例子,谁有一个问题和答案会议后,我的讲座告诉一个故事,这是一个故事 - 他说他会听一个交响曲,这是绝对荣耀的音乐,在录制的结束时,有一个可怕的尖叫的声音。",43.746,27.293,16.236,9.989,12.178,9.133,67.416,0.34,0.472,0.395,0.117,0.137,0.126,0.328,0.357,0.342,0.713,0.739,0.726
"And then he added, really quite emotionally,  it ruined the whole experience.",接着他激动地表示 这就是一只老鼠坏了一锅粥。,"然后他补充说,真的很情感,它破坏了整个体验。",18.182,9.305,6.004,4.108,3.824,3.278,85.714,0.231,0.214,0.222,0,0,0,0.231,0.2,0.214,0.643,0.666,0.654
But it hadn't.,但事实并非如此。,但它没有。,21.952,12.272,8.831,6.972,8,6.667,75,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.635,0.736,0.682
What it had ruined were the memories of the experience.,所发生的糟糕印象仅仅是对这段经验的记忆。,它所破坏的就是经历的记忆。,35.917,22.892,17.717,13.422,19.12,16.389,65,0.333,0.5,0.4,0.167,0.25,0.2,0.385,0.556,0.455,0.705,0.764,0.733
He had had the experience.,他经历了这段经验。,他曾经有过经验。,55.156,37.292,27.348,20.612,17.956,15.391,55.556,0.5,0.6,0.545,0.2,0.25,0.222,0.5,0.6,0.545,0.767,0.785,0.776
He had had 20 minutes of glorious music.,他也经历了20分钟的听觉盛会。,他有20分钟的荣耀音乐。,41.525,30.796,25.222,19.767,26.57,22.774,57.143,0.5,0.625,0.556,0.222,0.286,0.25,0.5,0.625,0.556,0.727,0.76,0.743
"They counted for nothing  because he was left with a memory;  the memory was ruined,  and the memory was all that he had gotten to keep.",但现在都已无足轻重了， 因为他仅留下一段记忆； 就是那段糟糕的记忆， 而其它20分钟的盛会则被完全遗忘了。,"他们不算什么,因为他留下了一个记忆;记忆被毁了,记忆是他必须保留的一切。",30.973,17.56,8.582,5.083,10.279,8.81,75.51,0.259,0.389,0.311,0,0,0,0.226,0.304,0.259,0.665,0.739,0.7
